event_id,dataset_index,primary_count,primary_pdgs,multiplicity_group,particle_valid,particle_truth_id,particle_truth,particle_pred_id,particle_pred,particle_correct,particle_confidence,stop_truth,stop_probability,stop_pred
972489,52457,2,-11;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6292982697486877,0,0.39709651470184326,0
160026,8715,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6252679824829102,0,0.4024133086204529,0
545227,29345,2,13;2112,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6230847835540771,0,0.47802379727363586,0
9084,504,4,22;11;-11;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6198885440826416,0,1.0566238415776752e-05,0
38133,2099,2,22;11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6196773052215576,0,0.4316924214363098,0
151459,8251,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6156191825866699,0,0.07840971648693085,0
513855,27707,2,22;22,multi_same_family,1,2,photon,0,muon,0,0.6088387370109558,1,0.08705445379018784,0
503550,27125,2,-13;13,multi_same_family,1,0,muon,2,photon,0,0.6060096621513367,0,0.9265033006668091,1
244787,13243,2,-11;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6050630211830139,0,0.09096530824899673,0
310575,16769,5,-13;22;22;11;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.6043176651000977,0,0.2046917825937271,0
795241,42831,2,-11;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5982726216316223,0,0.6070316433906555,0
742557,40056,3,-13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5945159792900085,0,0.3515999913215637,0
22044,1197,2,11;22,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.5917919278144836,1,0.814689040184021,1
195703,10634,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5890779495239258,0,0.24954566359519958,0
500309,26947,3,-13;22;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5772491097450256,0,0.17320670187473297,0
53593,2986,3,13;-13;-13,multi_same_family,1,0,muon,1,electron,0,0.5747275352478027,0,0.6877788305282593,0
602176,32508,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5723586678504944,0,0.05931874364614487,0
394127,21260,3,-13;13;22,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.5581462979316711,0,0.16081072390079498,0
749535,40440,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.5577617883682251,0,0.7237946391105652,0
663542,35908,5,-11;22;-13;13;22,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.5573169589042664,0,0.6410303711891174,0
690112,37342,5,22;22;22;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5515888929367065,0,0.29355698823928833,0
337173,18220,4,22;22;22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5514647960662842,0,0.6216325759887695,0
548172,29503,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.5501054525375366,0,0.6861070394515991,0
430130,23167,3,22;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5458443760871887,0,0.4978148937225342,0
828139,44675,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5420047044754028,0,0.01512631680816412,0
953455,51422,4,22;-13;-13;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.506500244140625,0,0.5116113424301147,0
883938,47610,3,-13;-13;-13,multi_same_family,1,0,muon,1,electron,0,0.5049110054969788,0,0.3646976351737976,0
996943,53786,4,22;22;13;-11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.5001969933509827,0,0.9999847412109375,1
6919,358,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.5001915097236633,0,0.37866172194480896,0
500650,26972,2,11;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.4893372058868408,0,0.07911143451929092,0
842113,45455,2,-11;22,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.4728794991970062,0,0.244381383061409,0
608597,32854,3,22;22;-11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.46868810057640076,1,0.5106433033943176,0
153527,8365,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.46761104464530945,0,6.350404419208644e-06,0
571771,30811,5,22;22;22;-11;-13,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.4491027593612671,0,0.009456194005906582,0
153045,8342,3,22;-13;-13,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.3918798267841339,0,0.19405345618724823,0
