group,events,valid_particle,particle_accuracy,particle_macro_f1,stop_positive,stop_TP,stop_FP,stop_FN,stop_TN,stop_precision,stop_recall,stop_f1
all_test,5396,5211,0.8595279217040875,0.5964306151311566,359,209,199,150,4838,0.5122549019607843,0.5821727019498607,0.544980443285528
single_primary,5144,5141,0.8589768527523828,0.5958399173973188,334,193,184,141,4626,0.5119363395225465,0.5778443113772455,0.5428973277074542
multi_primary,252,70,0.9,0.4214986619090098,25,16,15,9,212,0.5161290322580645,0.64,0.5714285714285714
multi_same_family,70,70,0.9,0.4214986619090098,6,4,5,2,59,0.4444444444444444,0.6666666666666666,0.5333333333333333
multi_mixed_family,182,0,nan,nan,19,12,10,7,153,0.5454545454545454,0.631578947368421,0.5853658536585366
